source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
taxwise_db.csv,sheets/financial/taxwise_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,24,13,Raw ingestion target
insurance_Auto Ins Drivers db.csv,sheets/insurance/insurance_Auto Ins Drivers db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,6,7,Raw ingestion target
insurance_Auto Ins Events db.csv,sheets/insurance/insurance_Auto Ins Events db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,59,11,Raw ingestion target
insurance_Auto Ins Vehicle db.csv,sheets/insurance/insurance_Auto Ins Vehicle db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,2,14,Raw ingestion target
insurance_Auto Insurance db.csv,sheets/insurance/insurance_Auto Insurance db.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,2,15,Raw ingestion target
knowledge_Code Gallery and Snippets Database.csv,sheets/knowledge/knowledge_Code Gallery and Snippets Database.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,221,9,Raw ingestion target
knowledge_Coding Resources.csv,sheets/knowledge/knowledge_Coding Resources.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,8,5,Raw ingestion target
knowledge_conversations.csv,sheets/knowledge/knowledge_conversations.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,15241,8,Raw ingestion target
knowledge_Copy To Notion Web Clips.csv,sheets/knowledge/knowledge_Copy To Notion Web Clips.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,145,9,Raw ingestion target
knowledge_db RawEmails KB.csv,sheets/knowledge/knowledge_db RawEmails KB.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,400,24,Raw ingestion target
knowledge_db_SOPs.csv,sheets/knowledge/knowledge_db_SOPs.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,10,10,Raw ingestion target
knowledge_Knowledge Base.csv,sheets/knowledge/knowledge_Knowledge Base.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,167,16,Raw ingestion target
knowledge_Resources.csv,sheets/knowledge/knowledge_Resources.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,6,3,Raw ingestion target
knowledge_Tags.csv,sheets/knowledge/knowledge_Tags.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,136,5,Raw ingestion target
knowledge_Translation_Language_001.csv,sheets/knowledge/knowledge_Translation_Language_001.csv,personal,csv,personal,record,qisystem,records,raw,needs_profile,1,8,Raw ingestion target
legal_Background Check Adjudication Grid (TO REVIEW).csv,sheets/legal/legal_Background Check Adjudication Grid (TO REVIEW).csv,legal,csv,legal,record,qisystem,records,raw,needs_profile,437,10,Raw ingestion target
